,dr2_source_id,dr3_source_id,Cluster,SimbadName_cluster,e_plx_cluster,plx_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,ra2000,dec2000,gmag,bpmag,rpmag,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_NUV,NUVmag,e_NUVmag,Nafl,objid_FUV,FUVmag,e_FUVmag,Fafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,e_u_psf,u_psf,v_flags,v_nimaflags,v_ngood,e_v_psf,v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,object_01,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_1,rd_flg,bl_flg,cc_flg,use_src,designation,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags,ext_flg,ph_qual_2,moon_lev,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN
0,5586717403640706304,5586717403640706304,NGC2451 ,NGC2451              ,0.005,5.163,30353523,-9223372036854775808,07411582-3832007,                   ,115.31588573764739,-38.533533125585784,5.364708,5.320185,5.5189166,5.2199449557051905,0.0682045,1.0629741,132820130.71343365,107591.516,277,5.379207,5.3060308,5.4977994,188.88382,191.54668,193.94162,188.96967,191.0306,193.54462,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,07411582-3832007,5.71,0.020,5.803,0.026,5.784,0.026,AAA,111,111,0s0,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
1,5587582508831567488,5587582508831567488,NGC2451 ,NGC2451              ,0.005,5.163,31514995,-9223372036854775808,07431199-3603002,J074311.96-360300.0,115.79992996090121,-36.05008996990236,5.5643954,5.513974,5.7010126,5.140683744809608,0.06714213,1.1061556,111155222.01249687,77597.15,278,5.572542,5.499306,5.6741004,191.55676,194.68358,198.16467,191.07101,193.53824,196.34291,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,07431199-3603002,5.856,0.027,5.951,0.042,5.935,0.023,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
2,5538816835981196288,5538816835981196288,NGC2451 ,NGC2451              ,0.005,5.163,31153647,-9223372036854775808,07443418-3756345,J074434.16-375634.3,116.14242928401326,-37.94291958163862,5.8592286,5.82572,5.971413,5.413111450685669,0.037714932,0.855313,84509755.4865802,45328.19,321,5.8700995,5.80958,5.955205,183.02034,184.35355,185.58502,183.32454,184.6598,185.87071,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,07443418-3756345,6.063,0.017,6.177,0.038,6.146,0.023,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
3,5538408195612899584,5538408195612899584,NGC2451 ,NGC2451              ,0.005,5.163,37955960,-9223372036854775808,07470576-3919515,J074705.74-391951.3,116.77398561657637,-39.330996030652415,6.277855,6.225835,6.426397,5.41983380102725,0.05065301,1.099111,57097321.38011121,69179.39,263,6.2958274,6.2154512,6.4170938,182.17705,184.19203,186.13332,182.19781,183.8685,185.36957,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,07470576-3919515,6.556,0.023,6.66,0.042,6.68,0.024,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
4,5538399743116543360,5538399743116543360,NGC2451 ,NGC2451              ,0.005,5.163,-9223372036854775808,-9223372036854775808,07452149-3920427,J074521.48-392042.5,116.33959100533501,-39.34520120883697,7.174472,7.1899657,7.208283,5.237246379244128,0.026571454,0.9335945,25093740.011814613,7805.04,364,7.188453,7.1701703,7.191925,189.69388,190.61919,191.70265,189.78584,190.72104,191.63824,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,07452149-3920427,7.237,0.019,7.292,0.057,7.23,0.021,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
5,5539389406660272896,5539389406660272896,NGC2451 ,NGC2451              ,0.005,5.163,39136857,-9223372036854775808,07502600-3614305,J075025.97-361430.6,117.60833955769803,-36.241892093303896,7.2374887,7.21997,7.322912,5.074786350534185,0.029515227,0.85838205,23678579.150774013,8643.878,373,7.2514777,7.2024484,7.314217,195.66626,196.91164,198.06744,195.49571,196.54315,197.56036,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,4,3416,0,,,-32768,-2147483648,0,,,07502600-3614305,7.352,0.020,7.435,0.033,7.391,0.026,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
6,5538616518704768384,5538616518704768384,NGC2451 ,NGC2451              ,0.005,5.163,30339456,-9223372036854775808,07440249-3849047,J074402.47-384904.4,116.01040955044844,-38.81795227912753,7.3946304,7.3876395,7.4577336,5.341037995726171,0.029669756,1.0719539,20526293.63400943,7901.7354,388,7.4065905,7.3690906,7.448412,185.774,186.8532,187.79037,185.83913,186.94623,188.02924,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,07440249-3849047,7.489,0.023,7.548,0.024,7.506,0.020,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
7,5538812231776326784,5538812231776326784,NGC2451 ,NGC2451              ,0.005,5.163,31153009,-9223372036854775808,07444488-3803135,J074444.86-380313.3,116.18702200747866,-38.05373619905801,7.5707145,7.5783744,7.603278,5.329113551023469,0.024083167,0.88302344,17433745.047671054,6777.0513,386,7.58389,7.562178,7.5946455,186.12482,186.95656,187.78387,186.36415,187.09708,187.84766,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,07444488-3803135,7.583,0.026,7.676,0.051,7.637,0.029,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
8,5538598819139552768,5538598823442709760,NGC2451 ,NGC2451              ,0.005,5.163,30333961,-9223372036854775808,07444390-3901146,J074443.88-390114.4,116.1829193756151,-39.02072239828266,8.091447,8.120544,8.074176,5.073960586209156,0.035963997,1.0623734,10831475.84013981,4626.285,381,8.100648,8.106844,8.063564,195.23906,196.40028,197.67198,195.34169,196.80673,198.18452,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,07444390-3901146,8.028,0.020,8.036,0.031,7.997,0.029,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
9,5585438774694835712,5585438774694835712,NGC2451 ,NGC2451              ,0.005,5.163,30970663,-9223372036854775808,07321685-3810271,J073216.83-381026.8,113.07021901781089,-38.174186281536635,8.562896,8.659807,8.428251,5.42933499161515,0.01601143,0.94890475,7023093.813360671,1856.8323,392,8.571046,8.643299,8.416351,183.27213,183.84283,184.29617,183.14603,183.7589,184.36572,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,0,0,2,0.0129,9.6761,0,0,1,0.0105,8.9803,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,-32768,-2147483648,0,,,07321685-3810271,8.277,0.020,8.185,0.036,8.144,0.021,AAA,111,111,000,1,J073216.83-381026.8,8.134,0.022,8.161,0.019,8.169,0.018,8.174,0.173,hH00,0,AAAB,0011,                            ,,,,        ,
