,dr2_source_id,dr3_source_id,Cluster,SimbadName_cluster,e_plx_cluster,plx_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,ra2000,dec2000,gmag,bpmag,rpmag,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_NUV,NUVmag,e_NUVmag,Nafl,objid_FUV,FUVmag,e_FUVmag,Fafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,e_u_psf,u_psf,v_flags,v_nimaflags,v_ngood,e_v_psf,v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,object_01,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_1,rd_flg,bl_flg,cc_flg,use_src,designation,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags,ext_flg,ph_qual_2,moon_lev,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN
0,64940906245415808,64940906245415808,Pleiades,Pleiades             ,0.005,7.364,-9223372036854775808,-9223372036854775808,03482081+2325165,                   ,57.08673659447996,23.42124885472651,5.4132123,5.403801,5.481127,7.690936370750085,0.09853769,1.0705914,126948375.39572829,95392.49,203,5.428299,5.3935294,5.460636,127.95042,129.59142,131.34843,128.47337,130.04076,131.62791,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03482081+2325165,5.504,0.029,5.59,0.029,5.56,0.017,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
1,65287458566524928,65287458566524928,Pleiades,Pleiades             ,0.005,7.364,-9223372036854775808,-9223372036854775808,03444821+2417222,J034448.23+241721.6,56.200895567515005,24.289467592071166,5.4266515,5.43046,5.467871,7.385246890845397,0.0723769,0.9633128,125434478.67821527,109160.12,209,5.4413247,5.419782,5.4410043,133.1028,134.37146,135.70512,133.47684,134.61894,135.82907,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03444821+2417222,5.447,0.027,5.476,0.038,5.496,0.016,EAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
2,69812945346809600,69812945346809600,Pleiades,Pleiades             ,0.005,7.364,-9223372036854775808,-9223372036854775808,03450973+2450213,                   ,56.29058389182493,24.83926199955818,5.6231275,5.6098404,5.702934,7.222157170572348,0.055079572,0.89882505,104420022.54657553,62138.258,190,5.6404076,5.600362,5.680828,136.92429,137.80669,138.86572,137.04431,137.85855,138.91348,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03450973+2450213,5.741,0.019,5.842,0.034,5.812,0.023,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
3,66798496781121792,66798496781121792,Pleiades,Pleiades             ,0.005,7.364,-9223372036854775808,-9223372036854775808,03455447+2433162,J034554.49+243315.5,56.476985211522006,24.554509916181193,5.7392497,5.7403636,5.777134,7.3052753639807255,0.0838769,0.8798977,94218535.55305557,59112.06,152,5.752026,5.729278,5.752268,134.41302,136.17566,137.70808,134.36876,136.36145,137.85052,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03455447+2433162,5.755,0.029,5.826,0.047,5.777,0.018,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
4,66786505232432512,66786505232432512,Pleiades,Pleiades             ,0.005,7.364,-9223372036854775808,-9223372036854775808,03460288+2431403,J034602.91+243139.9,56.51208469056043,24.527896782116795,6.4089994,6.421768,6.4359813,7.423127367767808,0.035905674,0.78916544,50680513.46691968,22745.826,196,6.4252644,6.4090815,6.425955,133.38275,133.93683,134.66344,133.34978,134.0259,134.65024,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03460288+2431403,6.399,0.026,6.484,0.042,6.433,0.024,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
5,66745617143891968,66745617143891968,Pleiades,Pleiades             ,0.005,7.364,-9223372036854775808,-9223372036854775808,03492173+2422515,J034921.76+242251.0,57.340626022365726,24.38095393250413,6.589043,6.5960255,6.6208277,7.189385624305486,0.036079854,0.9828397,42953003.35727429,13620.614,393,6.604883,6.5822644,6.6148195,137.66649,138.32147,138.84021,137.81665,138.52512,139.18628,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03492173+2422515,6.602,0.017,6.63,0.027,6.651,0.017,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
6,64679840952155264,64679840952155264,Pleiades,Pleiades             ,0.005,7.364,-9223372036854775808,-9223372036854775808,03384073+2239347,J033840.73+223934.1,54.6696700440329,22.659611219681114,6.6866565,6.704049,6.6965756,7.3735646873637215,0.038997106,0.95297456,39280074.28912584,13200.105,215,6.7019362,6.688857,6.6887803,134.2208,134.90875,135.67635,134.10109,134.81516,135.53972,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03384073+2239347,6.641,0.026,6.675,0.017,6.672,0.021,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
7,64956127609464320,64956127609464320,Pleiades,Pleiades             ,0.005,7.364,-9223372036854775808,-9223372036854775808,03454881+2308498,                   ,56.453396282032024,23.14714644293353,6.880885,6.9090605,6.874688,7.4211396976655095,0.041989394,1.0942224,32875435.50530229,10480.942,238,6.895188,6.892908,6.8683395,133.34111,134.11125,134.98305,133.47507,134.30432,135.10524,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03454881+2308498,6.701,0.018,6.732,0.017,6.816,9.995,AAF,111,111,0d0,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
8,65017627244152064,65017627244152064,Pleiades,Pleiades             ,0.005,7.364,-9223372036854775808,-9223372036854775808,03472096+2348121,J034720.98+234811.6,56.837370126208974,23.80334341042399,6.981759,7.0151234,6.970712,7.312944753255134,0.039188825,1.0218508,29916066.50216943,10202.596,239,6.997606,7.002589,6.9601827,135.25772,136.09859,136.9738,135.22516,135.79076,136.6225,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03472096+2348121,6.848,0.020,6.92,0.020,6.895,0.018,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
9,64109915973846528,64109915973846528,Pleiades,Pleiades             ,0.005,7.364,-9223372036854775808,-9223372036854775808,03493818+2232007,J034938.19+223200.1,57.409083859945326,22.533483708411225,6.989913,7.0214014,6.967423,7.295865291844413,0.028811403,1.0065733,29730544.4315249,8179.56,409,7.0043597,7.007024,6.964559,135.8714,136.41617,136.99403,135.76544,136.3821,136.88965,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03493818+2232007,6.854,0.019,6.918,0.021,6.882,0.023,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
