,dr2_source_id,dr3_source_id,Cluster,SimbadName_cluster,e_plx_cluster,plx_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,ra2000,dec2000,gmag,bpmag,rpmag,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_NUV,NUVmag,e_NUVmag,Nafl,objid_FUV,FUVmag,e_FUVmag,Fafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,e_u_psf,u_psf,v_flags,v_nimaflags,v_ngood,e_v_psf,v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,object_01,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_1,rd_flg,bl_flg,cc_flg,use_src,designation,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags,ext_flg,ph_qual_2,moon_lev,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN
0,662849900590743936,662849900590743936,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667108501651533,08354507+1946162,J083545.04+194616.0,128.93779939795567,19.771160417129533,7.445495,7.5372124,7.326983,5.594003640596384,0.03327203,0.9508404,19541858.15784071,7040.8623,298,7.4599524,7.520744,7.320773,176.86728,177.9446,178.86047,176.57019,177.49333,178.56334,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08354507+1946162,7.14,0.020,7.119,0.018,7.117,0.021,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
1,661268253115601792,661268253115601792,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,-9223372036854775808,08395777+1932293,J083957.74+193229.2,129.99070669406552,19.541478563091506,7.487116,7.6224194,7.3011985,5.403336785707,0.04485864,1.093879,18807615.180315774,4365.0933,285,7.5015326,7.605361,7.293408,181.98561,183.58363,184.95367,182.4771,183.82954,185.1912,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08395777+1932293,7.065,0.019,7.034,0.016,7.007,0.023,AAA,111,111,dsd,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
2,661290758744228224,661290758744228224,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,-9223372036854775808,08401810+1931552,J084018.07+193155.0,130.07540412738345,19.53198989804158,7.499503,7.592067,7.389409,5.410258093181366,0.030780256,0.89385337,18569096.987872954,6486.9966,298,7.51539,7.576736,7.378975,182.47592,183.42683,184.44838,182.19635,183.28966,184.73027,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08401810+1931552,7.208,0.020,7.203,9.998,7.163,0.017,AFA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
3,661200083394793216,661200083394793216,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667107428237587,08403924+1913418,J084039.21+191341.7,130.16347508034082,19.228291145753566,7.7580204,7.88386,7.576423,5.706712040665592,0.095414266,2.4808247,14677171.456965204,6147.4307,300,7.770761,7.867106,7.567954,171.43835,173.92232,177.13632,170.84875,173.69733,176.93497,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08403924+1913418,7.329,0.019,7.243,0.020,7.23,0.021,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
4,661051679386429952,661051679386429952,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667211581521937,08454653+1902581,J084546.50+190257.9,131.44389801637132,19.049464545376964,7.981543,8.108491,7.7996397,5.61794492851575,0.03476525,1.0595508,11954284.241118992,2945.393,462,7.993558,8.095498,7.795934,175.7314,176.82779,177.9303,175.6843,176.9029,178.08667,6377706371515679019,12.7331,0.004,0,6377706371515679019,14.9236,0.0183,256,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08454653+1902581,7.578,0.023,7.556,0.020,7.534,0.027,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
5,665104346103922688,665104346103922688,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237673808122609745,08462889+2221079,J084628.87+222107.5,131.62042799516584,22.35216592945649,8.146346,8.276899,7.953608,5.4923353301966005,0.032901887,1.0283391,10258608.073856108,3001.474,406,8.159646,8.263792,7.9463506,179.84549,180.93266,182.00934,179.73924,180.72084,181.94408,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08462889+2221079,7.716,0.023,7.651,0.033,7.637,0.024,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
6,661156858841945856,661156858841945856,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667255068065870,08461546+1942329,J084615.43+194232.8,131.56443687420966,19.709158519061493,8.3222065,8.455543,8.12241,5.4679291422433325,0.023893144,1.0116423,8737803.020754872,2122.9473,475,8.333861,8.443014,8.115634,181.05756,181.80818,182.48827,180.90353,181.70891,182.52063,6377706371515681628,12.9432,0.0043,17,6377706371515681628,15.0537,0.0166,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08461546+1942329,7.894,0.018,7.822,0.021,7.786,0.020,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
7,664591595728990336,664591595728990336,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667109575524458,08351777+2033526,J083517.74+203352.4,128.8240471413587,20.56459638105757,8.363517,8.508753,8.145828,5.425570273316165,0.023382751,0.89719576,8426916.419135252,2723.4578,411,8.373195,8.494132,8.136961,182.30643,183.12447,183.814,182.36436,182.98413,183.75977,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08351777+2033526,7.876,0.019,7.807,0.017,7.761,0.018,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
8,660953998946910720,660953998946910720,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667253994061938,08452053+1852313,J084520.50+185231.3,131.33553626492886,18.875396796050847,8.387611,8.529843,8.173425,5.492367912730847,0.032517932,1.0906453,8232515.355691731,1957.8088,401,8.398536,8.516975,8.166572,179.90552,180.80176,181.83713,179.74278,180.64139,181.90103,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08452053+1852313,7.91,0.019,7.858,0.021,7.835,0.020,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
9,661767843709723776,661767843709723776,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667107965829142,08452825+2023435,J084528.22+202343.2,131.3677273238306,20.39538982800898,8.450657,8.603755,8.222289,5.573395753190734,0.02482584,1.0210836,7770138.386577122,2389.794,477,8.461295,8.590004,8.2139,177.31732,178.16971,179.14261,177.40396,178.25352,179.06042,-9223372036854775808,,,-32768,6377706360778262015,15.8284,0.0257,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08452825+2023435,8.012,0.023,7.906,0.017,7.864,0.021,AAA,111,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
