,dr2_source_id,dr3_source_id,Cluster,SimbadName_cluster,e_plx_cluster,plx_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,ra2000,dec2000,gmag,bpmag,rpmag,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_NUV,NUVmag,e_NUVmag,Nafl,objid_FUV,FUVmag,e_FUVmag,Fafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,e_u_psf,u_psf,v_flags,v_nimaflags,v_ngood,e_v_psf,v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,object_01,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_1,rd_flg,bl_flg,cc_flg,use_src,designation,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags,ext_flg,ph_qual_2,moon_lev,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN
0,442084561489950720,442084561489950720,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03374799+5059380,J033748.01+505937.7,54.44999649629037,50.993889407740674,13.028773,13.684202,12.257939,5.579779163299459,0.013568512,0.9474019,115727.12816261745,147.96745,387,13.028779,13.669576,12.254245,177.89578,178.25778,178.73076,177.77983,178.26471,178.69029,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03374799+5059380,11.294,0.023,10.693,0.018,10.597,0.015,AAA,222,111,000,1,J033748.01+505937.7,10.493,0.023,10.516,0.021,10.286,0.069,8.563,,0000,0,AAAU,0000,                            ,,,,        ,
1,249364465476847744,249364465476847744,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03342934+4921434,J033429.36+492143.2,53.62228185954942,49.362087087649435,13.051345,13.701209,12.288849,5.661752850333681,0.012913564,0.91543835,112660.03332729843,129.08023,569,13.057942,13.693648,12.29002,175.18373,175.54732,175.92877,175.12828,175.56715,175.96336,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03342934+4921434,11.273,0.023,10.754,0.031,10.581,0.018,AAA,222,111,000,1,J033429.36+492143.2,10.526,0.023,10.559,0.02,10.482,0.096,8.446,,0000,0,AAAU,0000,                            ,,,,        ,
2,249885187311137408,249885187311137408,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03381031+5016262,J033810.33+501626.0,54.54300184321931,50.27397988935938,13.069965,13.743773,12.288174,5.546462358962668,0.012464712,0.95447487,111868.07376835654,119.95175,457,13.065601,13.722655,12.278917,178.71501,179.12846,179.57689,178.71754,179.14201,179.59943,6372886138307216213,20.7596,0.351,0,6372886138307216213,,,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03381031+5016262,11.289,0.023,10.682,0.024,10.538,0.019,AAA,222,111,000,1,J033810.33+501626.0,10.517,0.023,10.541,0.019,10.495,0.075,9.117,0.489,0000,0,AAAC,0000,                            ,,,,        ,
3,436536838133473408,436536838133473408,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03170754+4958400,J031707.58+495839.8,49.28149765509186,49.97779632829623,13.119108,13.799827,12.331098,5.705252898189679,0.013139447,1.0621096,107838.8467830176,148.3674,378,13.105429,13.769668,12.314438,173.70895,174.07915,174.41263,173.79979,174.1737,174.52147,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03170754+4958400,11.232,0.020,10.692,0.019,10.528,0.016,AAA,222,111,000,1,J031707.58+495839.8,10.487,0.023,10.524,0.02,10.39,0.076,8.487,,0h00,0,AAAU,0000,                            ,,,,        ,
4,441372971309927936,441372971309927936,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03253191+4830110,J032531.93+483010.7,51.38297486689641,48.50305769801119,13.239545,13.950229,12.430926,5.775586464046997,0.015383179,1.0129011,95661.63795833188,110.3276,370,13.235522,13.929074,12.422881,171.6695,172.06862,172.42004,171.65,172.0639,172.50552,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03253191+4830110,11.383,0.020,10.734,0.021,10.601,0.016,AAA,222,111,000,1,J032531.93+483010.7,10.555,0.023,10.566,0.021,10.549,0.089,8.906,,0000,0,AAAU,0000,                            ,,,,        ,
5,435159768541504000,435159768541504000,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03124993+4803035,J031249.96+480303.2,48.20807677252406,48.05097740906202,13.272058,14.032813,12.4279995,5.743190519136233,0.013467852,1.1045271,93740.50689943176,62.485954,530,13.257548,14.004473,12.410256,172.58052,173.04816,173.39642,172.49338,172.90482,173.3554,6372850958230094128,20.984,0.311,1,6372850958230094128,,,256,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03124993+4803035,11.3,0.022,10.673,0.021,10.578,0.020,AAA,222,111,000,1,J031249.96+480303.2,10.445,0.024,10.454,0.02,10.519,0.092,8.418,,0000,0,AAAU,0000,                            ,,,,        ,
6,248837490169366656,248837490170018432,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03314060+4655257,J033140.63+465525.4,52.91922385400515,46.923818874873156,13.487322,14.264608,12.638067,5.569086670347159,0.024723224,1.0116563,76713.02215649215,27.309181,329,13.475194,14.238872,12.622212,177.77142,178.53116,179.15689,177.78195,178.47812,179.20226,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03314060+4655257,11.487,0.022,10.841,0.021,10.726,0.022,AAA,222,111,000,1,J033140.63+465525.4,10.664,0.022,10.715,0.022,10.801,0.109,8.752,,0000,0,AABU,0000,                            ,,,,        ,
7,436345969787424896,436345969787424896,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,                ,                   ,48.45290528623954,48.98601813318201,13.659526,14.400817,12.775095,5.414358091943927,0.020666352,1.19897,64798.8611138879,18.769712,374,13.658448,14.368814,12.750528,182.73326,183.44402,184.5009,182.84021,183.53905,184.17073,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,                ,,     ,,     ,,     ,   ,-32768,-32768,   ,-32768,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
8,249861479091748736,249861479091748736,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03432777+5037367,J034327.78+503736.4,55.86570476222066,50.626879945100974,13.699239,14.563273,12.790832,5.539745330389756,0.015935471,0.9646535,63418.37378898552,37.933113,396,13.681829,14.53266,12.771571,178.72586,179.21446,179.63278,178.69814,179.34479,179.91345,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03432777+5037367,11.571,0.022,10.883,0.027,10.721,0.020,AAA,222,111,000,1,J034327.78+503736.4,10.657,0.024,10.654,0.021,10.569,0.086,9.1,,0000,0,AAAU,0000,                            ,,,,        ,
9,248230628469065728,248230628469065728,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,1237670961098129563,03373436+4731542,                   ,54.393190735293466,47.53171207041011,13.76551,14.66347,12.837325,6.025979957790138,0.01868156,1.061671,59333.733936200566,51.672466,354,13.754112,14.6399,12.819894,164.39684,164.87521,165.3966,164.26093,164.8015,165.41895,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,17.90612,0.16416,15.28083,0.0455054,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03373436+4731542,11.652,0.038,10.939,0.039,10.781,0.033,AAA,222,111,000,1,                   ,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
